historical_id,quarter,summary,feedback_mentions_90d,affected_mau,support_tickets_90d,mean_feedback_severity,engineering_days,dependency_count,premium_share,churn_risk_share,accessibility_or_compliance,incident_linked_count,prerequisite_ready,decision
HIST-0234,2024-Q2,Add local event discovery,329,262126,108,1.00,43,2,0.328,0.224,0,1,1,REJECTED
HIST-0235,2024-Q1,Improve queue management,66,81666,103,2.22,26,2,0.494,0.177,0,1,1,REJECTED
HIST-0236,2024-Q2,Improve search relevance,249,415855,57,1.35,17,3,0.030,0.195,0,7,1,REJECTED
HIST-0237,2024-Q1,Improve family plan controls,241,331637,65,3.29,25,2,0.400,0.132,0,0,1,REJECTED
HIST-0238,2024-Q2,Reduce startup latency,72,498380,76,3.73,33,1,0.552,0.200,1,1,1,SHIPPED_NEXT
HIST-0239,2024-Q1,Upgrade account safety controls,64,1145446,297,2.10,21,1,0.030,0.315,0,0,1,DEFERRED
HIST-0240,2024-Q2,Reduce mobile data consumption,55,80147,102,3.14,18,1,0.457,0.127,1,8,0,DEFERRED
HIST-0241,2025-Q3,Improve network playback reliability,88,262757,104,2.14,34,2,0.557,0.359,0,0,1,REJECTED
HIST-0242,2025-Q1,Add creator analytics surface,94,158602,184,3.53,24,2,0.427,0.395,0,1,1,REJECTED
HIST-0243,2025-Q1,Improve queue management,274,132683,67,3.26,41,1,0.092,0.228,0,0,1,REJECTED
HIST-0244,2025-Q1,Reduce startup latency,148,267168,99,2.85,13,3,0.505,0.309,0,0,1,DEFERRED
HIST-0245,2025-Q4,Add social listening capability,391,442080,157,2.84,37,2,0.496,0.358,0,1,1,SHIPPED_NEXT
HIST-0246,2025-Q2,Improve queue management,188,154440,70,3.40,50,1,0.502,0.116,0,2,1,REJECTED
HIST-0247,2025-Q3,Add accessibility support to lyrics,29,353268,262,2.40,36,3,0.469,0.090,1,0,1,REJECTED
HIST-0248,2025-Q3,Improve recommendation quality,147,211752,90,3.16,33,0,0.443,0.044,0,1,1,REJECTED
HIST-0249,2025-Q4,Add social listening capability,161,334588,60,1.85,31,0,0.256,0.089,0,1,0,REJECTED
HIST-0250,2025-Q1,Improve podcast discovery,13,167816,14,2.93,37,3,0.346,0.010,0,0,1,REJECTED
HIST-0251,2025-Q4,Improve search relevance,324,203977,55,3.06,35,3,0.751,0.397,1,0,1,REJECTED
HIST-0252,2025-Q1,Improve queue management,318,762697,42,3.04,32,0,0.030,0.156,0,0,1,REJECTED
HIST-0253,2025-Q1,Add language support,16,537506,63,2.78,41,2,0.235,0.123,0,2,0,REJECTED
HIST-0254,2025-Q2,Improve queue management,83,194541,117,1.98,10,2,0.422,0.366,0,5,1,DEFERRED
HIST-0255,2025-Q2,Add language support,809,321739,117,1.72,40,1,0.980,0.131,0,6,1,DEFERRED
HIST-0256,2025-Q3,Add local event discovery,315,581934,116,2.36,38,0,0.301,0.320,0,1,1,SHIPPED_NEXT
HIST-0257,2025-Q1,Upgrade account safety controls,58,558556,16,2.98,31,3,0.770,0.010,1,2,1,REJECTED
HIST-0258,2025-Q1,Improve podcast discovery,817,155000,76,3.57,6,2,0.833,0.061,1,4,1,SHIPPED_NEXT
HIST-0259,2025-Q4,Improve podcast discovery,288,383500,37,3.81,22,1,0.676,0.196,1,0,1,DEFERRED
HIST-0260,2025-Q1,Add accessibility support to lyrics,268,86579,122,3.05,51,2,0.414,0.104,1,4,1,REJECTED
HIST-0261,2025-Q2,Add creator analytics surface,474,241766,47,3.24,35,3,0.316,0.010,0,2,1,REJECTED
HIST-0262,2025-Q2,Add profile customization,80,426195,142,3.57,8,3,0.436,0.152,1,4,0,REJECTED
HIST-0263,2025-Q3,Add creator analytics surface,184,191544,140,3.38,29,4,0.248,0.294,0,0,1,REJECTED
HIST-0264,2025-Q4,Reduce startup latency,59,404701,132,1.58,14,2,0.596,0.291,0,0,0,REJECTED
HIST-0265,2025-Q2,Add accessibility support to lyrics,132,577018,83,2.53,15,3,0.338,0.253,1,4,1,DEFERRED
HIST-0266,2025-Q2,Add local event discovery,211,43527,438,4.10,30,2,0.240,0.207,0,0,1,REJECTED
HIST-0267,2025-Q3,Improve cross-device playback,201,164818,62,1.75,42,3,0.445,0.295,0,0,1,REJECTED
HIST-0268,2025-Q1,Improve network playback reliability,207,160927,81,1.53,48,2,0.537,0.133,0,0,1,REJECTED
HIST-0269,2025-Q4,Improve queue management,72,474570,97,3.57,37,3,0.328,0.034,1,0,1,REJECTED
HIST-0270,2025-Q2,Reduce startup latency,99,163861,225,3.98,10,5,0.459,0.113,0,6,1,REJECTED
HIST-0271,2025-Q4,Modernize media delivery pipeline,146,483552,109,2.05,6,1,0.053,0.374,0,4,1,SHIPPED_NEXT
HIST-0272,2025-Q1,Add social listening capability,100,219620,78,3.55,41,2,0.149,0.050,0,0,0,REJECTED
HIST-0273,2025-Q3,Add local event discovery,440,572725,48,1.80,6,3,0.571,0.279,0,0,1,DEFERRED
HIST-0274,2025-Q3,Reduce startup latency,196,327535,37,1.89,30,1,0.262,0.122,0,0,1,REJECTED
HIST-0275,2025-Q2,Improve offline playback,153,595307,50,2.45,16,2,0.525,0.384,0,0,1,REJECTED
HIST-0276,2025-Q3,Improve family plan controls,29,100953,34,2.94,25,2,0.555,0.258,1,9,1,DEFERRED
HIST-0277,2025-Q2,Reduce startup latency,184,166714,35,2.83,74,1,0.460,0.237,0,0,0,REJECTED
HIST-0278,2025-Q1,Reduce startup latency,80,545770,150,1.73,21,2,0.464,0.448,1,0,1,DEFERRED
HIST-0279,2025-Q3,Improve podcast discovery,388,218479,459,2.53,6,1,0.616,0.010,0,18,1,SHIPPED_NEXT
HIST-0280,2025-Q4,Add language support,248,877506,29,2.83,27,1,0.115,0.125,0,0,1,DEFERRED
HIST-0281,2025-Q2,Improve network playback reliability,2707,174589,302,2.92,28,3,0.453,0.010,0,0,1,SHIPPED_NEXT
HIST-0282,2025-Q2,Improve search relevance,159,218729,37,2.56,35,4,0.293,0.232,0,2,0,REJECTED
HIST-0283,2025-Q4,Improve queue management,448,348144,115,1.25,29,1,0.714,0.031,0,1,0,REJECTED
HIST-0284,2025-Q4,Improve recommendation quality,176,134861,184,2.03,25,3,0.146,0.214,0,0,0,REJECTED
HIST-0285,2025-Q4,Improve search relevance,1500,146390,539,1.33,31,4,0.507,0.351,0,0,1,DEFERRED
HIST-0286,2025-Q2,Improve search relevance,92,69613,69,1.20,32,3,0.791,0.174,0,1,1,REJECTED
HIST-0287,2025-Q3,Add creator analytics surface,675,148021,77,2.60,54,3,0.725,0.010,0,0,1,REJECTED
HIST-0288,2025-Q2,Improve cross-device playback,115,273500,56,3.27,32,1,0.351,0.173,0,0,1,REJECTED
HIST-0289,2025-Q2,Upgrade account safety controls,97,78918,25,1.45,12,4,0.669,0.255,0,0,1,REJECTED
HIST-0290,2025-Q2,Add language support,36,68661,33,2.90,27,3,0.470,0.134,0,1,1,REJECTED
HIST-0291,2025-Q1,Modernize media delivery pipeline,187,111699,225,2.35,51,2,0.422,0.045,0,1,1,REJECTED
HIST-0292,2025-Q3,Add AI-assisted content discovery,340,30138,43,2.06,20,2,0.202,0.281,0,0,1,REJECTED
HIST-0293,2025-Q1,Add creator analytics surface,1452,186714,44,2.80,18,3,0.847,0.155,0,1,0,DEFERRED
HIST-0294,2025-Q4,Improve search relevance,40,204216,42,1.51,16,3,0.515,0.141,0,3,1,REJECTED
HIST-0295,2025-Q3,Reduce startup latency,63,128915,59,2.89,51,4,0.432,0.244,1,0,1,REJECTED
HIST-0296,2025-Q2,Add premium audio capability,59,229844,19,1.77,52,1,0.131,0.226,0,2,1,REJECTED
HIST-0297,2025-Q3,Add premium audio capability,2685,48477,53,3.00,19,0,0.445,0.078,0,14,1,SHIPPED_NEXT
HIST-0298,2025-Q2,Add profile customization,83,432575,472,2.87,42,3,0.030,0.340,0,0,1,REJECTED
HIST-0299,2025-Q4,Upgrade account safety controls,186,491361,32,3.08,29,0,0.638,0.199,1,1,1,REJECTED
HIST-0300,2025-Q1,Add creator analytics surface,53,333676,56,2.47,41,3,0.296,0.378,0,2,0,REJECTED
HIST-0301,2025-Q4,Add AI-assisted content discovery,200,957572,362,2.42,10,2,0.758,0.353,0,2,1,DEFERRED
HIST-0302,2025-Q2,Improve offline playback,135,217415,77,3.13,47,1,0.658,0.352,1,0,1,REJECTED
HIST-0303,2025-Q2,Improve search relevance,70,256057,50,2.14,15,1,0.249,0.025,0,1,1,REJECTED
HIST-0304,2025-Q4,Improve offline playback,1031,79451,110,3.41,14,4,0.030,0.277,1,1,1,DEFERRED
HIST-0305,2025-Q2,Add creator analytics surface,83,250726,175,1.90,29,4,0.050,0.375,0,3,1,REJECTED
HIST-0306,2025-Q4,Add AI-assisted content discovery,1282,273318,128,1.00,12,1,0.124,0.285,0,6,1,SHIPPED_NEXT
HIST-0307,2025-Q1,Add creator analytics surface,147,182033,230,3.00,6,2,0.528,0.255,0,3,1,DEFERRED
HIST-0308,2025-Q2,Add premium audio capability,56,63440,282,1.46,32,3,0.075,0.045,0,0,1,REJECTED
HIST-0309,2025-Q3,Add local event discovery,117,203726,105,3.03,18,5,0.144,0.152,0,1,1,REJECTED
HIST-0310,2025-Q2,Add premium audio capability,531,222642,64,2.85,35,2,0.088,0.107,1,0,1,DEFERRED
HIST-0311,2025-Q2,Improve search relevance,134,100668,30,2.74,31,2,0.380,0.134,0,0,0,REJECTED
HIST-0312,2025-Q2,Upgrade account safety controls,110,560672,168,3.58,29,2,0.446,0.234,0,4,1,REJECTED
HIST-0313,2025-Q3,Improve family plan controls,296,48060,16,3.03,26,2,0.044,0.096,0,2,1,REJECTED
HIST-0314,2025-Q2,Add social listening capability,708,1609428,20,3.68,25,2,0.099,0.279,0,3,1,SHIPPED_NEXT
HIST-0315,2025-Q4,Improve recommendation quality,188,513681,22,2.21,10,3,0.261,0.415,1,1,1,SHIPPED_NEXT
HIST-0316,2025-Q4,Improve cross-device playback,114,783006,72,2.50,13,2,0.291,0.351,0,1,0,REJECTED
HIST-0317,2025-Q2,Improve cross-device playback,358,587715,62,3.17,31,1,0.030,0.273,0,0,1,DEFERRED
HIST-0318,2025-Q2,Upgrade account safety controls,18,20050,54,4.34,31,0,0.539,0.188,0,0,1,REJECTED
HIST-0319,2025-Q2,Improve recommendation quality,1030,237293,81,2.87,13,3,0.030,0.429,0,2,1,DEFERRED
HIST-0320,2025-Q4,Add social listening capability,317,182794,85,3.49,48,4,0.751,0.391,0,2,1,DEFERRED
HIST-0321,2025-Q3,Improve cross-device playback,83,1081911,112,3.06,35,2,0.630,0.253,0,0,1,REJECTED
HIST-0322,2025-Q2,Improve recommendation quality,121,216978,82,2.63,67,1,0.579,0.215,0,2,1,REJECTED
HIST-0323,2025-Q4,Improve cross-device playback,652,33308,25,2.19,44,0,0.297,0.313,0,2,1,REJECTED
HIST-0324,2025-Q4,Improve queue management,206,462907,47,2.34,17,1,0.583,0.134,0,6,0,DEFERRED
HIST-0325,2025-Q3,Improve recommendation quality,94,194718,40,3.36,48,3,0.276,0.149,1,0,1,REJECTED
HIST-0326,2025-Q3,Improve recommendation quality,49,192970,86,4.80,30,0,0.369,0.244,0,1,1,REJECTED
HIST-0327,2025-Q4,Improve queue management,139,82236,74,2.11,39,2,0.749,0.383,0,2,1,REJECTED
HIST-0328,2025-Q2,Reduce mobile data consumption,139,712711,77,3.41,29,4,0.299,0.038,0,1,1,REJECTED
HIST-0329,2025-Q3,Add social listening capability,226,294498,50,2.36,53,2,0.445,0.132,0,4,1,REJECTED
HIST-0330,2025-Q2,Improve search relevance,442,111087,34,2.59,20,3,0.376,0.070,0,5,0,REJECTED
HIST-0331,2025-Q1,Add profile customization,225,233574,45,3.40,65,5,0.557,0.325,0,1,1,REJECTED
HIST-0332,2025-Q3,Upgrade account safety controls,76,113238,58,2.77,25,3,0.255,0.212,0,0,0,REJECTED
HIST-0333,2025-Q3,Add social listening capability,337,88659,115,2.88,56,2,0.727,0.572,0,3,1,DEFERRED
HIST-0334,2025-Q3,Add profile customization,396,583264,57,3.98,26,1,0.244,0.054,0,9,1,SHIPPED_NEXT
HIST-0335,2025-Q2,Improve queue management,200,296926,25,2.32,38,3,0.555,0.394,0,2,1,REJECTED
HIST-0336,2025-Q1,Improve network playback reliability,92,128802,84,3.32,30,2,0.330,0.093,0,0,1,REJECTED
HIST-0337,2025-Q4,Modernize media delivery pipeline,172,219322,46,2.57,18,2,0.857,0.152,0,6,1,DEFERRED
HIST-0338,2025-Q2,Improve family plan controls,883,45633,37,3.26,6,1,0.073,0.123,0,0,1,DEFERRED
HIST-0339,2025-Q3,Upgrade account safety controls,157,279069,90,4.07,50,3,0.749,0.152,0,7,1,REJECTED
HIST-0340,2025-Q3,Improve offline playback,762,281980,26,3.17,10,4,0.406,0.216,0,5,0,REJECTED
HIST-0341,2025-Q2,Improve search relevance,589,151385,198,2.43,32,2,0.527,0.254,0,2,1,REJECTED
HIST-0342,2025-Q3,Improve recommendation quality,92,149125,90,2.47,40,3,0.119,0.097,0,2,1,REJECTED
HIST-0343,2025-Q4,Add social listening capability,376,343497,29,2.92,45,4,0.655,0.060,0,0,1,REJECTED
HIST-0344,2025-Q2,Improve network playback reliability,251,312578,109,2.07,36,2,0.244,0.046,0,0,1,REJECTED
HIST-0345,2025-Q4,Add local event discovery,110,196473,191,2.58,25,3,0.380,0.325,0,0,1,REJECTED
HIST-0346,2025-Q1,Improve queue management,40,158459,55,1.61,21,4,0.708,0.311,1,2,1,REJECTED
HIST-0347,2025-Q2,Add premium audio capability,117,374897,36,3.13,24,5,0.431,0.269,0,3,1,REJECTED
HIST-0348,2025-Q2,Add premium audio capability,75,70045,88,2.42,56,4,0.854,0.217,0,3,1,REJECTED
HIST-0349,2025-Q2,Add social listening capability,167,166010,46,1.47,32,0,0.548,0.269,0,0,1,REJECTED
HIST-0350,2025-Q3,Improve search relevance,337,214930,195,2.64,20,1,0.458,0.116,0,1,0,DEFERRED
HIST-0351,2025-Q3,Improve recommendation quality,94,211400,21,2.90,36,3,0.549,0.316,1,0,1,REJECTED
HIST-0352,2025-Q3,Improve search relevance,89,487107,139,2.89,63,1,0.528,0.087,0,1,1,REJECTED
HIST-0353,2025-Q4,Modernize media delivery pipeline,250,209962,31,1.79,20,3,0.282,0.056,0,3,0,REJECTED
HIST-0354,2025-Q1,Add creator analytics surface,39,249606,176,2.75,12,2,0.472,0.091,0,0,1,REJECTED
HIST-0355,2025-Q1,Reduce startup latency,44,1072563,185,2.23,14,2,0.787,0.219,0,3,0,REJECTED
HIST-0356,2025-Q2,Add local event discovery,81,494614,3,2.48,22,2,0.463,0.106,0,1,0,REJECTED
HIST-0357,2025-Q2,Upgrade account safety controls,186,152540,36,2.83,45,3,0.082,0.333,0,2,1,REJECTED
HIST-0358,2025-Q3,Improve cross-device playback,112,1392618,184,2.71,32,5,0.348,0.102,0,0,1,REJECTED
HIST-0359,2025-Q2,Add language support,72,297357,35,2.58,14,0,0.594,0.197,0,2,1,REJECTED
HIST-0360,2025-Q4,Improve search relevance,538,261019,53,1.12,15,4,0.633,0.212,0,1,1,REJECTED
